Energy (eV),Cross Section (m^2)
1.000000000000000021e-03,0.000000000000000000e+00
1.149756995397735633e-03,0.000000000000000000e+00
1.321941148466028622e-03,0.000000000000000000e+00
1.519911082952933243e-03,0.000000000000000000e+00
1.747528400007682938e-03,0.000000000000000000e+00
2.009233002565048026e-03,0.000000000000000000e+00
2.310129700083160455e-03,0.000000000000000000e+00
2.656087782946686768e-03,0.000000000000000000e+00
3.053855508833415357e-03,0.000000000000000000e+00
3.511191734215130845e-03,0.000000000000000000e+00
4.037017258596553408e-03,0.000000000000000000e+00
4.641588833612782412e-03,0.000000000000000000e+00
5.336699231206312212e-03,0.000000000000000000e+00
6.135907273413176120e-03,0.000000000000000000e+00
7.054802310718645032e-03,0.000000000000000000e+00
8.111308307896872294e-03,0.000000000000000000e+00
9.326033468832199691e-03,0.000000000000000000e+00
1.072267222010323158e-02,0.000000000000000000e+00
1.232846739442065853e-02,0.000000000000000000e+00
1.417474162926805545e-02,0.000000000000000000e+00
1.629750834620644420e-02,0.000000000000000000e+00
1.873817422860384052e-02,0.000000000000000000e+00
2.154434690031884619e-02,0.000000000000000000e+00
2.477076355991711387e-02,0.000000000000000000e+00
2.848035868435801893e-02,0.000000000000000000e+00
3.274549162877728181e-02,0.000000000000000000e+00
3.764935806792467365e-02,0.000000000000000000e+00
4.328761281083059326e-02,0.000000000000000000e+00
4.977023564332111460e-02,0.000000000000000000e+00
5.722367659350217212e-02,0.000000000000000000e+00
6.579332246575682330e-02,0.000000000000000000e+00
7.564633275546291113e-02,0.000000000000000000e+00
8.697490026177834288e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00
1.149756995397735598e-01,0.000000000000000000e+00
1.321941148466028726e-01,0.000000000000000000e+00
1.519911082952933035e-01,0.000000000000000000e+00
1.747528400007684890e-01,0.000000000000000000e+00
2.009233002565047888e-01,0.000000000000000000e+00
2.310129700083160265e-01,0.000000000000000000e+00
2.656087782946686682e-01,0.000000000000000000e+00
3.053855508833415722e-01,0.000000000000000000e+00
3.511191734215131088e-01,0.000000000000000000e+00
4.037017258596553582e-01,0.000000000000000000e+00
4.641588833612781961e-01,0.000000000000000000e+00
5.336699231206312177e-01,0.000000000000000000e+00
6.135907273413175878e-01,0.000000000000000000e+00
7.054802310718645275e-01,0.000000000000000000e+00
8.111308307896872849e-01,0.000000000000000000e+00
9.326033468832198858e-01,0.000000000000000000e+00
1.072267222010323096e+00,0.000000000000000000e+00
1.232846739442065909e+00,0.000000000000000000e+00
1.417474162926804837e+00,0.000000000000000000e+00
1.629750834620645072e+00,0.000000000000000000e+00
1.873817422860384996e+00,0.000000000000000000e+00
2.154434690031884259e+00,0.000000000000000000e+00
2.477076355991711498e+00,0.000000000000000000e+00
2.848035868435801810e+00,0.000000000000000000e+00
3.274549162877728570e+00,0.000000000000000000e+00
3.764935806792467421e+00,0.000000000000000000e+00
4.328761281083061796e+00,0.000000000000000000e+00
4.977023564332113459e+00,0.000000000000000000e+00
5.722367659350219959e+00,0.000000000000000000e+00
6.579332246575682497e+00,0.000000000000000000e+00
7.564633275546290392e+00,0.000000000000000000e+00
8.697490026177835176e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00
1.149756995397735615e+01,0.000000000000000000e+00
1.321941148466028793e+01,0.000000000000000000e+00
1.519911082952933157e+01,0.000000000000000000e+00
1.747528400007682947e+01,0.000000000000000000e+00
2.009233002565045823e+01,6.080464533529515706e-23
2.310129700083157900e+01,6.866697761729682561e-22
2.656087782946689302e+01,1.406262588529113602e-21
3.053855508833418497e+01,1.474807543014764296e-21
3.511191734215134375e+01,1.446119804744768305e-21
4.037017258596557667e+01,1.414484985146828053e-21
4.641588833612782139e+01,1.379781158981993994e-21
5.336699231206312533e+01,1.341926968850125837e-21
6.135907273413175744e+01,1.300892279893669408e-21
7.054802310718645231e+01,1.256708498902237085e-21
8.111308307896872805e+01,1.209477681636358230e-21
9.326033468832198992e+01,1.159379431116564342e-21
1.072267222010323167e+02,1.106674567772534625e-21
1.232846739442065882e+02,1.051704665896652526e-21
1.417474162926804695e+02,9.948868193017036131e-22
1.629750834620643332e+02,9.367034143420328895e-22
1.873817422860383033e+02,8.776872084718640602e-22
2.154434690031886532e+02,8.184025634481461456e-22
2.477076355991713967e+02,7.594241709658911178e-22
2.848035868435804900e+02,7.013149432611342715e-22
3.274549162877731874e+02,6.446048553171510598e-22
3.764935806792471453e+02,5.897723953827878945e-22
4.328761281083061476e+02,5.372299331565477208e-22
4.977023564332113779e+02,4.873138192310907116e-22
5.722367659350220492e+02,4.402794777432398077e-22
6.579332246575681893e+02,3.963012391036682100e-22
7.564633275546290179e+02,3.554762531975704130e-22
8.697490026177833897e+02,3.178315653185802011e-22
1.000000000000000000e+03,2.833333333333333510e-22
