Temperatures,+-
-inf,-inf
3.479758195446680524e-01,-5.771716062420358950e-01
3.873468398266776136e-01,-6.284098108868987342e-01
4.137049625355066484e-01,-6.650368518297909981e-01
4.337915456981921714e-01,-6.947622158355855060e-01
4.501095139357476071e-01,-7.203412165782124843e-01
4.638963231380471286e-01,-7.430987732517229105e-01
4.758618418512642334e-01,-7.637829871801473658e-01
4.864531454601278559e-01,-7.828620648254570602e-01
4.959705560998554086e-01,-8.006505828573614592e-01
5.046257703215605295e-01,-8.173720660033695351e-01
5.125736543095061881e-01,-8.331914164173049864e-01
5.199307262072228042e-01,-8.482347039068213190e-01
5.267869970171092930e-01,-8.626005814213475453e-01
5.332133562218231981e-01,-8.763685460904198088e-01
5.392667163720868961e-01,-8.896027913066578696e-01
5.449931576404857259e-01,-9.023571474939379167e-01
5.504308584412517247e-01,-9.146764651318871620e-01
5.556115167604367411e-01,-9.265990288196009894e-01
5.605618116694044417e-01,-9.381575816270507628e-01
5.653046838506171623e-01,-9.493806516854123023e-01
5.698593144778997255e-01,-9.602930510865087532e-01
5.742427786511977716e-01,-9.709165905693718512e-01
5.784694818546330941e-01,-9.812705325265336231e-01
5.825522593991715459e-01,-9.913722766673477294e-01
5.865022654129853352e-01,-1.001237104094257369e+00
5.903296587420480135e-01,-1.010878955179151051e+00
5.940429647076009845e-01,-1.020310348091178598e+00
5.976502849708335008e-01,-1.029542743462358523e+00
6.011585939342217744e-01,-1.038586289341495661e+00
6.045741673365851998e-01,-1.047450614323817142e+00
6.079027871742515021e-01,-1.056144509733673242e+00
6.111496324821139581e-01,-1.064675947789773147e+00
6.143194151026142302e-01,-1.073052030201804063e+00
6.174164301034033020e-01,-1.081279733044211655e+00
6.204445885901809232e-01,-1.089365545357742882e+00
6.234075322893979365e-01,-1.097315014302011615e+00
6.263084186525624819e-01,-1.105133900924193169e+00
6.291505823627425720e-01,-1.112827312881601527e+00
6.319366345628432136e-01,-1.120399605395320242e+00
6.346691308884688798e-01,-1.127855851556528233e+00
6.373506248492820658e-01,-1.135199639452234344e+00
6.399831863668481446e-01,-1.142435724964102839e+00
6.425690287494061348e-01,-1.149566874273357353e+00
6.451100751286965584e-01,-1.156597238730001420e+00
6.476082072306518223e-01,-1.163529820449476171e+00
6.500650432431583914e-01,-1.170367968110544110e+00
6.524820989338295796e-01,-1.177114557515463789e+00
6.548609642704307232e-01,-1.183772322507416153e+00
6.572029144259640132e-01,-1.190343795038274921e+00
6.595095418284714350e-01,-1.196831778743387975e+00
6.617817749753296397e-01,-1.203238580939964830e+00
6.640210226461964460e-01,-1.209566492205659038e+00
6.662282062898428059e-01,-1.215817809630007629e+00
6.684044907462997065e-01,-1.221994118698951359e+00
6.705507895301509036e-01,-1.228098034821095252e+00
6.726680606145539754e-01,-1.234130987001864632e+00
6.747571735337769550e-01,-1.240094956321101449e+00
6.768190194192018616e-01,-1.245991450962179670e+00
6.788543201905213875e-01,-1.251822706910174832e+00
6.808639387795433207e-01,-1.257589604971640407e+00
6.828485093734920630e-01,-1.263293937188262328e+00
6.848087682061314574e-01,-1.268937245613633413e+00
6.867453579100633032e-01,-1.274521113989680154e+00
6.886588769112939046e-01,-1.280046430548341441e+00
6.905500373140839310e-01,-1.285514753206034033e+00
6.924191853638844707e-01,-1.290927289742874295e+00
6.942672654225849893e-01,-1.296285132863169709e+00
6.960944484555294798e-01,-1.301589785565831825e+00
6.979012904226705727e-01,-1.306842178829253465e+00
6.996884827677265495e-01,-1.312043040406602579e+00
7.014562849824312885e-01,-1.317194077652843021e+00
7.032051675534394253e-01,-1.322295485690252015e+00
7.049356973358518186e-01,-1.327349301553663929e+00
7.066481271229227978e-01,-1.332355442273405632e+00
7.083429340955763598e-01,-1.337315493902853758e+00
7.100205078923897961e-01,-1.342229813038163577e+00
7.116811408122436511e-01,-1.347099753556792567e+00
7.133253696253722964e-01,-1.351925922058400786e+00
7.149533900168639766e-01,-1.356709073486772610e+00
7.165655265811886609e-01,-1.361449746996697074e+00
7.181620122270608864e-01,-1.366149251438509182e+00
7.197434862377728448e-01,-1.370807695339696819e+00
7.213099301176317812e-01,-1.375426322845545446e+00
7.228616288787531596e-01,-1.380005500914912142e+00
7.243991032902779015e-01,-1.384546114030631436e+00
7.259222897978040434e-01,-1.389048561494523826e+00
7.274317786939571429e-01,-1.393513127772773252e+00
7.289276331329679337e-01,-1.397941070685297937e+00
7.304099592648087835e-01,-1.402332765348863752e+00
7.318793658743623087e-01,-1.406688692394348905e+00
7.333356822319140322e-01,-1.411009401342596892e+00
7.347795425628441679e-01,-1.415295255019941134e+00
7.362107975398428650e-01,-1.419546910297457831e+00
7.376297880167338450e-01,-1.423765193357340086e+00
7.390365740341713341e-01,-1.427950314473079407e+00
7.404317386514180921e-01,-1.432102907512676548e+00
7.418151214643212699e-01,-1.436222876886577904e+00
7.431870091818043589e-01,-1.440311571388582346e+00
7.445475066703541867e-01,-1.444368782823878927e+00
7.458970437515516361e-01,-1.448395186407162916e+00
7.472355536780600493e-01,-1.452391493774767950e+00
7.485631662910402495e-01,-1.456357249313407154e+00
7.498802311631818096e-01,-1.460293245245629867e+00
7.511867543979650064e-01,-1.464200685532120350e+00
7.524829348418288211e-01,-1.468079177265018576e+00
7.537690174208643290e-01,-1.471929187097855918e+00
7.550450692759905769e-01,-1.475751124413758664e+00
7.563112739411161911e-01,-1.479545148946813216e+00
7.575676054138742455e-01,-1.483312016610217610e+00
7.588143833261420390e-01,-1.487052043783121835e+00
7.600516539505881575e-01,-1.490765363266396859e+00
7.612795385608701615e-01,-1.494452215322950916e+00
7.624983484120927413e-01,-1.498112816938069969e+00
7.637079151819871070e-01,-1.501747935257994770e+00
7.649084534168721916e-01,-1.505358065172885729e+00
7.661002922604145393e-01,-1.508942942795246545e+00
7.672833654496548084e-01,-1.512503042254780272e+00
7.684577637459374388e-01,-1.516038300992310628e+00
7.696234999344078176e-01,-1.519550061828234711e+00
7.707810506815931939e-01,-1.523037488315664101e+00
7.719301579975933469e-01,-1.526501550874617807e+00
7.730711676304100610e-01,-1.529942043700567744e+00
7.742040534800829210e-01,-1.533359660157804560e+00
7.753289086236105909e-01,-1.536754276178642353e+00
7.764457167932076187e-01,-1.540126739731930039e+00
7.775549233067433619e-01,-1.543476771231180100e+00
7.786564478720701121e-01,-1.546804760793872635e+00
7.797502651468068979e-01,-1.550110767451170490e+00
7.808365189841647291e-01,-1.553395117358285393e+00
7.819153243188967650e-01,-1.556658439973349406e+00
7.829867836380058899e-01,-1.559900696437996892e+00
7.840511153580577153e-01,-1.563121498954606281e+00
7.851080730056754220e-01,-1.566322159175009610e+00
7.861580427672427707e-01,-1.569502651730899201e+00
7.872009948893878839e-01,-1.572662432095252916e+00
7.882369591556983579e-01,-1.575802343897091840e+00
7.892660230241724806e-01,-1.578922783322246115e+00
7.902882929914094579e-01,-1.582023183348321593e+00
7.913039485717312527e-01,-1.585104432506565075e+00
7.923128925716427240e-01,-1.588166157977702886e+00
7.933152624514777651e-01,-1.591209342490811807e+00
7.943111355935899009e-01,-1.594233173327500142e+00
7.953005032373346994e-01,-1.597238743029716357e+00
7.962835402026862130e-01,-1.600225692291318280e+00
7.972603578877623942e-01,-1.603194585468877165e+00
7.982309471901708475e-01,-1.606145595500122036e+00
7.991952305323467565e-01,-1.609078086986835743e+00
8.001536054261150221e-01,-1.611993310766206111e+00
8.011058642515338502e-01,-1.614890408614065631e+00
8.020521083529952300e-01,-1.617770705264131248e+00
8.029924254927667260e-01,-1.620633072023909271e+00
8.039268428508511422e-01,-1.623478460102672605e+00
8.048555088721355277e-01,-1.626307042721571783e+00
8.057782622107122483e-01,-1.629118850645633332e+00
8.066955310014236602e-01,-1.631914005425370240e+00
8.076070180135793697e-01,-1.634692847302305685e+00
8.085130165314134976e-01,-1.637454736273036504e+00
8.094134253193508988e-01,-1.640200633284119247e+00
8.103082520135450606e-01,-1.642930552611396866e+00
8.111976853969472545e-01,-1.645644681856359925e+00
8.120817492541198002e-01,-1.648342410615718290e+00
8.129606074908075630e-01,-1.651024533146842055e+00
8.138339614880206740e-01,-1.653691182374353863e+00
8.147021451404601322e-01,-1.656343037932645590e+00
8.155652618207391846e-01,-1.658978759811861048e+00
8.164229812041184919e-01,-1.661599489653328821e+00
8.172757921475529708e-01,-1.664204667109998814e+00
8.181234995031555490e-01,-1.666795737268917277e+00
8.189660888427381380e-01,-1.669371236339487918e+00
8.198038918346204351e-01,-1.671932962036644987e+00
8.206366927950605739e-01,-1.674479468464434850e+00
8.214646440557175078e-01,-1.677011414387817645e+00
8.222876651615704802e-01,-1.679529096825572276e+00
8.231059082779047520e-01,-1.682033122596229058e+00
8.239193442329709738e-01,-1.684522529762528587e+00
8.247282380310059224e-01,-1.686997626137463069e+00
8.255321768352194001e-01,-1.689458846684457116e+00
8.263317968928863833e-01,-1.691906728706660701e+00
8.271266301196175119e-01,-1.694340649460287063e+00
8.279169527877394685e-01,-1.696760666744751456e+00
8.287025705712673940e-01,-1.699167764247841106e+00
8.294838602385082860e-01,-1.701561140942025485e+00
8.302607653543951916e-01,-1.703941258011406612e+00
8.310332543647414028e-01,-1.706308257140485951e+00
8.318012898769167052e-01,-1.708661972904667037e+00
8.325649791773735986e-01,-1.711002682776375350e+00
8.333243777808339026e-01,-1.713330104892273553e+00
8.340794237408082346e-01,-1.715645449697065006e+00
8.348303078895280560e-01,-1.717947598748549298e+00
8.355768483048285900e-01,-1.720237688399980369e+00
8.363194084398407613e-01,-1.722514230292763848e+00
