E/N (Td)	Rate coefficient (m3/s)
0.1000	0.9598E-14
0.1090	0.9918E-14
0.1188	0.1025E-13
0.1294	0.1061E-13
0.1411	0.1100E-13
0.1538	0.1140E-13
0.1676	0.1183E-13
0.1826	0.1228E-13
0.1990	0.1276E-13
0.2169	0.1326E-13
0.2364	0.1379E-13
0.2576	0.1435E-13
0.2808	0.1494E-13
0.3060	0.1556E-13
0.3335	0.1621E-13
0.3635	0.1690E-13
0.3961	0.1762E-13
0.4317	0.1838E-13
0.4705	0.1917E-13
0.5127	0.2000E-13
0.5588	0.2088E-13
0.6090	0.2180E-13
0.6637	0.2276E-13
0.7234	0.2377E-13
0.7884	0.2483E-13
0.8592	0.2594E-13
0.9364	0.2710E-13
1.020	0.2831E-13
1.112	0.2958E-13
1.212	0.3092E-13
1.321	0.3231E-13
1.440	0.3376E-13
1.569	0.3529E-13
1.710	0.3688E-13
1.864	0.3854E-13
2.031	0.4027E-13
2.214	0.4207E-13
2.412	0.4396E-13
2.629	0.4591E-13
2.865	0.4794E-13
3.123	0.5005E-13
3.403	0.5223E-13
3.709	0.5446E-13
4.042	0.5677E-13
4.405	0.5912E-13
4.801	0.6152E-13
5.233	0.6392E-13
5.703	0.6627E-13
6.215	0.6847E-13
6.773	0.7043E-13
7.382	0.7208E-13
8.045	0.7334E-13
8.768	0.7429E-13
9.556	0.7497E-13
10.41	0.7547E-13
11.35	0.7585E-13
12.37	0.7613E-13
13.48	0.7637E-13
14.69	0.7656E-13
16.01	0.7673E-13
17.45	0.7687E-13
19.02	0.7700E-13
20.73	0.7712E-13
22.59	0.7722E-13
24.62	0.7731E-13
26.83	0.7739E-13
29.24	0.7745E-13
31.87	0.7750E-13
34.73	0.7754E-13
37.85	0.7756E-13
41.25	0.7756E-13
44.96	0.7755E-13
49.00	0.7753E-13
53.40	0.7747E-13
58.20	0.7739E-13
63.42	0.7729E-13
69.12	0.7715E-13
75.33	0.7697E-13
82.10	0.7675E-13
89.48	0.7649E-13
97.51	0.7618E-13
106.3	0.7580E-13
115.8	0.7537E-13
126.2	0.7487E-13
137.6	0.7430E-13
149.9	0.7366E-13
163.4	0.7294E-13
178.1	0.7214E-13
194.1	0.7126E-13
211.5	0.7031E-13
230.5	0.6928E-13
251.2	0.6819E-13
273.8	0.6705E-13
298.4	0.6586E-13
325.2	0.6463E-13
354.4	0.6337E-13
386.3	0.6211E-13
421.0	0.6084E-13
458.8	0.5958E-13
500.0	0.5834E-13

